 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -85.000    0.000  -28.27  -70.91   12963   11417   -6139  -37461   39640
  -85.000    5.000  -32.71  -71.02   12923   10874   -6983  -37565   39726
  -85.000   10.000  -37.18  -71.14   12876   10258   -7782  -37692   39830
  -85.000   15.000  -41.69  -71.28   12823    9575   -8529  -37841   39954
  -85.000   20.000  -46.24  -71.44   12762    8826   -9218  -38011   40097
  -85.000   25.000  -50.83  -71.62   12694    8018   -9842  -38202   40256
  -85.000   30.000  -55.47  -71.81   12619    7154  -10396  -38412   40432
  -85.000   35.000  -60.15  -72.02   12536    6240  -10873  -38639   40622
  -85.000   40.000  -64.88  -72.25   12445    5284  -11268  -38882   40825
  -85.000   45.000  -69.66  -72.49   12347    4292  -11577  -39139   41041
  -85.000   50.000  -74.49  -72.74   12241    3273  -11795  -39408   41266
  -85.000   55.000  -79.39  -73.01   12128    2233  -11920  -39687   41499
  -85.000   60.000  -84.34  -73.28   12007    1183  -11949  -39973   41738
  -85.000   65.000  -89.36  -73.56   11880     132  -11880  -40265   41981
  -85.000   70.000  -94.45  -73.85   11748    -912  -11712  -40559   42226
  -85.000   75.000  -99.61  -74.13   11610   -1938  -11447  -40852   42470
  -85.000   80.000 -104.84  -74.42   11469   -2938  -11087  -41143   42712
  -85.000   85.000 -110.15  -74.71   11326   -3901  -10632  -41429   42949
  -85.000   90.000 -115.53  -74.99   11181   -4819  -10089  -41707   43180
  -85.000   95.000 -121.00  -75.27   11037   -5684   -9461  -41975   43402
  -85.000  100.000 -126.54  -75.53   10895   -6487   -8753  -42231   43613
  -85.000  105.000 -132.17  -75.79   10757   -7221   -7973  -42471   43812
  -85.000  110.000 -137.87  -76.02   10626   -7880   -7128  -42695   43997
  -85.000  115.000 -143.64  -76.24   10502   -8457   -6226  -42900   44167
  -85.000  120.000 -149.48  -76.44   10388   -8949   -5275  -43086   44320
  -85.000  125.000 -155.39  -76.62   10286   -9351   -4284  -43249   44456
  -85.000  130.000 -161.34  -76.77   10197   -9661   -3262  -43390   44572
  -85.000  135.000 -167.34  -76.90   10123   -9877   -2219  -43507   44669
  -85.000  140.000 -173.37  -77.00   10065   -9998   -1163  -43600   44746
  -85.000  145.000 -179.41  -77.07   10025  -10024    -104  -43667   44803
  -85.000  150.000  174.55  -77.11   10001   -9956     950  -43710   44839
  -85.000  155.000  168.52  -77.12    9996   -9796    1990  -43727   44855
  -85.000  160.000  162.52  -77.10   10009   -9547    3007  -43719   44851
  -85.000  165.000  156.56  -77.06   10040   -9211    3995  -43687   44826
  -85.000  170.000  150.65  -76.98   10088   -8793    4945  -43631   44782
  -85.000  175.000  144.81  -76.88   10152   -8297    5850  -43551   44718
  -85.000  180.000  139.05  -76.75   10231   -7728    6705  -43448   44636
  -85.000  185.000  133.37  -76.60   10324   -7090    7505  -43324   44537
  -85.000  190.000  127.78  -76.42   10429   -6390    8242  -43179   44421
  -85.000  195.000  122.29  -76.23   10545   -5633    8914  -43015   44289
  -85.000  200.000  116.89  -76.01   10669   -4825    9516  -42833   44142
  -85.000  205.000  111.59  -75.78   10801   -3974   10044  -42635   43982
  -85.000  210.000  106.37  -75.54   10938   -3084   10495  -42421   43809
  -85.000  215.000  101.26  -75.29   11080   -2163   10867  -42194   43625
  -85.000  220.000   96.22  -75.02   11223   -1217   11157  -41956   43431
  -85.000  225.000   91.28  -74.75   11368    -253   11365  -41707   43228
  -85.000  230.000   86.41  -74.48   11511     722   11489  -41450   43019
  -85.000  235.000   81.61  -74.20   11653    1700   11528  -41186   42803
  -85.000  240.000   76.88  -73.92   11792    2676   11484  -40918   42583
  -85.000  245.000   72.22  -73.65   11926    3643   11356  -40647   42360
  -85.000  250.000   67.61  -73.38   12055    4592   11146  -40375   42136
  -85.000  255.000   63.05  -73.11   12178    5519   10855  -40104   41912
  -85.000  260.000   58.54  -72.85   12293    6416   10486  -39836   41690
  -85.000  265.000   54.07  -72.60   12402    7277   10042  -39573   41471
  -85.000  270.000   49.64  -72.36   12502    8097    9527  -39317   41257
  -85.000  275.000   45.24  -72.13   12595    8869    8943  -39069   41049
  -85.000  280.000   40.87  -71.92   12679    9588    8296  -38831   40849
  -85.000  285.000   36.52  -71.72   12754   10250    7590  -38606   40658
  -85.000  290.000   32.19  -71.53   12821   10850    6831  -38393   40477
  -85.000  295.000   27.88  -71.37   12879   11384    6023  -38196   40308
  -85.000  300.000   23.59  -71.22   12929   11849    5173  -38014   40153
  -85.000  305.000   19.30  -71.08   12971   12242    4286  -37851   40011
  -85.000  310.000   15.01  -70.97   13005   12561    3369  -37706   39885
  -85.000  315.000   10.73  -70.88   13031   12803    2426  -37580   39776
  -85.000  320.000    6.45  -70.80   13050   12968    1465  -37476   39683
  -85.000  325.000    2.16  -70.74   13062   13053     492  -37393   39609
  -85.000  330.000   -2.14  -70.71   13067   13058    -487  -37333   39554
  -85.000  335.000   -6.44  -70.69   13066   12983   -1466  -37295   39518
  -85.000  340.000  -10.77  -70.70   13058   12828   -2439  -37281   39501
  -85.000  345.000  -15.11  -70.72   13043   12593   -3399  -37290   39506
  -85.000  350.000  -19.47  -70.77   13023   12278   -4340  -37323   39530
  -85.000  355.000  -23.85  -70.83   12996   11886   -5256  -37380   39575
  -80.000    0.000  -25.16  -68.11   13686   12388   -5818  -34066   36713
  -80.000    5.000  -29.17  -68.28   13641   11912   -6648  -34252   36869
  -80.000   10.000  -33.22  -68.49   13590   11368   -7446  -34484   37065
  -80.000   15.000  -37.34  -68.73   13531   10759   -8206  -34760   37301
  -80.000   20.000  -41.50  -69.00   13463   10083   -8921  -35081   37576
  -80.000   25.000  -45.72  -69.31   13384    9344   -9583  -35445   37888
  -80.000   30.000  -50.00  -69.66   13292    8544  -10183  -35850   38235
  -80.000   35.000  -54.34  -70.03   13186    7686  -10714  -36295   38616
  -80.000   40.000  -58.75  -70.45   13062    6777  -11167  -36775   39026
  -80.000   45.000  -63.22  -70.89   12920    5822  -11534  -37287   39462
  -80.000   50.000  -67.76  -71.36   12758    4829  -11809  -37828   39921
  -80.000   55.000  -72.37  -71.86   12575    3808  -11984  -38392   40399
  -80.000   60.000  -77.07  -72.39   12370    2768  -12056  -38974   40890
  -80.000   65.000  -81.86  -72.94   12143    1720  -12020  -39569   41391
  -80.000   70.000  -86.75  -73.51   11893     675  -11874  -40171   41895
  -80.000   75.000  -91.75  -74.09   11623    -355  -11618  -40773   42398
  -80.000   80.000  -96.88  -74.68   11334   -1358  -11253  -41370   42894
  -80.000   85.000 -102.16  -75.27   11028   -2322  -10781  -41955   43380
  -80.000   90.000 -107.59  -75.86   10708   -3237  -10207  -42522   43849
  -80.000   95.000 -113.22  -76.45   10379   -4091   -9538  -43065   44298
  -80.000  100.000 -119.04  -77.02   10045   -4876   -8782  -43579   44721
  -80.000  105.000 -125.09  -77.57    9711   -5582   -7946  -44059   45116
  -80.000  110.000 -131.38  -78.09    9384   -6203   -7041  -44500   45479
  -80.000  115.000 -137.93  -78.58    9070   -6733   -6077  -44899   45806
  -80.000  120.000 -144.75  -79.02    8777   -7167   -5066  -45252   46096
  -80.000  125.000 -151.82  -79.42    8512   -7503   -4019  -45558   46346
  -80.000  130.000 -159.15  -79.75    8282   -7739   -2948  -45813   46555
  -80.000  135.000 -166.68  -80.02    8093   -7876   -1864  -46017   46723
  -80.000  140.000 -174.39  -80.23    7952   -7914    -778  -46169   46849
  -80.000  145.000  177.81  -80.36    7862   -7856     301  -46270   46933
  -80.000  150.000  169.98  -80.41    7825   -7705    1361  -46319   46976
  -80.000  155.000  162.21  -80.39    7841   -7467    2395  -46319   46978
  -80.000  160.000  154.58  -80.30    7910   -7144    3395  -46269   46940
  -80.000  165.000  147.15  -80.14    8027   -6744    4354  -46173   46865
  -80.000  170.000  139.98  -79.91    8188   -6271    5265  -46031   46754
  -80.000  175.000  133.10  -79.63    8388   -5731    6125  -45846   46607
  -80.000  180.000  126.53  -79.30    8620   -5131    6927  -45621   46428
  -80.000  185.000  120.27  -78.92    8879   -4475    7668  -45357   46218
  -80.000  190.000  114.31  -78.51    9158   -3771    8346  -45058   45979
  -80.000  195.000  108.64  -78.06    9454   -3022    8958  -44725   45713
  -80.000  200.000  103.24  -77.59    9760   -2235    9500  -44361   45422
  -80.000  205.000   98.08  -77.10   10072   -1415    9972  -43969   45107
  -80.000  210.000   93.13  -76.59   10386    -568   10371  -43550   44772
  -80.000  215.000   88.38  -76.06   10700     303   10695  -43109   44417
  -80.000  220.000   83.79  -75.53   11009    1190   10944  -42648   44046
  -80.000  225.000   79.35  -74.99   11310    2090   11116  -42168   43659
  -80.000  230.000   75.03  -74.44   11602    2996   11209  -41675   43260
  -80.000  235.000   70.82  -73.90   11882    3904   11223  -41170   42850
  -80.000  240.000   66.70  -73.36   12148    4806   11157  -40657   42433
  -80.000  245.000   62.65  -72.84   12398    5696   11011  -40139   42010
  -80.000  250.000   58.66  -72.32   12630    6569   10787  -39621   41585
  -80.000  255.000   54.72  -71.82   12843    7418   10484  -39105   41160
  -80.000  260.000   50.83  -71.34   13037    8235   10106  -38595   40737
  -80.000  265.000   46.96  -70.88   13210    9015    9655  -38095   40321
  -80.000  270.000   43.13  -70.44   13362    9752    9135  -37609   39913
  -80.000  275.000   39.32  -70.03   13494   10439    8551  -37141   39516
